sentiment,Adult,Air Travel,Alcoholic Beverages,American Football,Apparel,Arts & Entertainment,Autos & Vehicles,Baked Goods,Basketball,Beauty & Fitness,Bed & Bath,Beverages,Books & Literature,Building Materials & Supplies,Business & Industrial,Business Services,Cards & Greetings,Celebrities & Entertainment News,Charity & Philanthropy,Clothing Accessories,Coffee & Tea,Colleges & Universities,Combat Sports,Comics & Animation,Computer & Video Games,Computer Hardware,Computers & Electronics,Construction & Maintenance,Consumer Electronics,Consumer Resources,Cooking & Recipes,Coupons & Discount Offers,Credit & Lending,Cricket,Crime & Justice,Currencies & Foreign Exchange,Desserts,Dogs,Education,Energy & Utilities,Engineering & Technology,Events & Listings,Face & Body Care,Family,Family & Relationships,Finance,Fitness,Food,Food & Drink,Gambling,Game Systems & Consoles,Games,Gifts,Gifts & Special Event Items,Government,Hair Care,Health,Health Conditions,Hobbies & Leisure,Holidays & Seasonal Events,Home & Garden,Home Improvement,Hotels & Accommodations,Humor,Individual Sports,Infectious Diseases,Internet & Telecom,Jobs & Education,Laptops & Notebooks,Law & Government,Legal,Loans,Lottery,Massively Multiplayer Games,Meat & Seafood,Medical Facilities & Services,Medical Procedures,Merit Prizes & Contests,Military,Mobile & Wireless,Mobile Apps & Add-Ons,Mobile Phones,Motor Vehicles (By Type),Movies,Music & Audio,News,Nutrition,Online Communities,Online Games,Online Media,Online Video,Outdoors,People & Society,Pets,Pets & Animals,Photographic & Digital Arts,Politics,Public Health,Public Safety,Radio,Real Estate,Reference,Religion & Belief,Restaurants,Rock Music,Roleplaying Games,Science,Sensitive Subjects,Service Providers,Shooter Games,Shopping,Soccer,Social Issues & Advocacy,Social Networks,Software,Special Occasions,Sports,Sports News,TV & Video,TV Shows & Programs,Team Sports,Tourist Destinations,Transportation & Logistics,Travel,Urban & Hip-Hop,Virtual Worlds,Visual Art & Design,INFJ,ENTP,INTP,INTJ,ENTJ,ENFJ,INFP,ENFP,ISFP,ISTP,ISFJ,ISTJ,ESTP,ESFP,ESTJ,ESFJ,Accounting & Auditing,Banking,Baseball,Candy & Sweets,Home Appliances,Home Furnishings,Kitchen & Dining,Snack Foods
0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022114627,0.049055867,0.027169177,0.058489338,0.003950412,0.017433748,0.004986127,0.014298438,0.135195136,0.185364604,0.162437618,0.141691372,0.021400699,0.059016813,0.033578414,0.063817658,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,4,0,0,0,0,1,0,5.07E-05,3.14E-05,0.005327241,0.000431389,0.000253281,8.47E-05,0.003791922,0.000746766,0.000216329,0.000155357,0.001383285,0.000372671,0.007639538,0.010889265,0.968345642,0.000280484,0,0,0,0,0,0,0,0
0.100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.009535279,0.004011781,0.00695144,0.006718775,0.00673745,0.002780817,0.019964928,0.139366969,0.001605966,0.000898157,0.009958196,0.032331973,0.007549676,0.00107023,0.74211514,0.008403288,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022088807,0.049003776,0.027134415,0.058464974,0.003946037,0.017413095,0.004981731,0.014272557,0.135256901,0.185665682,0.162628815,0.141542226,0.021385284,0.058969215,0.033536956,0.063709565,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001075092,0.003294881,1.95E-05,0.051193956,0.001106807,0.00042742,7.11E-05,0.000173629,0.194093302,0.000812739,0.632770777,0.109570183,0.00033005,8.60E-05,0.003595898,0.001378668,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11818061,0.302346826,0.18214871,0.000766221,0.016154187,0.012249578,0.024222717,0.012682343,0.13893047,0.076068074,0.015349864,0.001097431,0.008878858,0.005349196,0.084836751,0.000738116,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022170983,0.049042616,0.027075417,0.058556262,0.003940795,0.017406587,0.004982457,0.014301046,0.135192215,0.185345381,0.162769601,0.141453147,0.021428023,0.058911696,0.033531189,0.063892692,0,0,0,0,0,0,0,0
0.300000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.52E-05,0.023336053,6.21E-06,0.005101488,1.51E-05,3.14E-05,0.000141324,6.79E-05,0.000125103,0.962423444,4.69E-05,4.14E-05,2.72E-05,9.94E-05,3.06E-06,0.008518747,0,0,0,0,0,0,0,0
0.899999976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022095159,0.049040318,0.027177699,0.05844935,0.003949261,0.017423321,0.004981298,0.014301769,0.135296732,0.185583577,0.162493646,0.141386196,0.021406392,0.059015311,0.033573203,0.063826703,0,0,0,0,0,0,0,0
0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001552906,0.000419717,0.000902207,0.011856695,0.002542251,1.68E-05,0.00024669,0.000128497,0.023876177,0.003273973,0.915849805,0.000967232,0.013652908,0.005296101,0.019040463,0.000377701,0,0,0,0,0,0,0,0
